,GEOID,ALAND
0,17091011700,2370100
1,17091011800,1791332
2,17119400951,5169973
3,17119400952,5751299
4,17135957500,450037682
5,17119401100,3892851
6,17119401500,3676720
7,17119401722,2243730
8,17189950200,417752856
9,17189950400,586329233
10,17189950300,30445243
11,17189950100,422566185
12,17161024000,23167384
13,17161024400,2777653
14,17119403401,3439193
15,17119403531,24141657
16,17119401701,11398464
17,17119403402,8280082
18,17089853100,1436221
19,17089853200,1693159
20,17193958400,446496591
21,17193958300,347259141
22,17193958200,468845656
23,17135957700,7578907
24,17135958000,378274407
25,17135957400,284477129
26,17135957600,433485876
27,17135957800,6655096
28,17135957300,231414470
29,17135957900,30802899
30,17143004600,20939555
31,17093890700,366785993
32,17093890201,2058375
33,17093890400,73427873
34,17093890202,1374394
35,17093890500,91232897
36,17093890600,194870662
37,17197881109,8494838
38,17143000200,971326
39,17143004102,6818076
40,17143003900,278604295
41,17143004101,69788770
42,17143004802,7816716
43,17143003402,19533187
44,17143003601,13200530
45,17143003102,6132949
46,17143003401,35569682
47,17143003300,7318336
48,17143004801,42753623
49,17143004901,139070956
50,17143000500,2009823
51,17143002900,4477260
52,17143004000,239484910
53,17143002200,1820974
54,17143004902,144356920
55,17143004500,31193605
56,17143003800,290937821
57,17143000100,3660532
58,17143000300,990420
59,17115002300,82153000
60,17143003200,3169974
61,17143004300,1614771
62,17119400200,12542801
63,17119400600,2402899
64,17119400801,1333309
65,17119400802,3607091
66,17143000600,2191313
67,17143000900,2041623
68,17143001200,1509930
69,17073030202,261348583
70,17073030800,22389816
71,17073030203,117023712
72,17073030600,31903318
73,17073030300,64563334
74,17073031200,381804660
75,17073031000,80096709
76,17073030100,33787721
77,17073030500,464285418
78,17073030201,173469460
79,17143001300,1260722
80,17143001500,2165703
81,17115002602,132902481
82,17115000200,1436436
83,17115002402,12425331
84,17115003000,235843577
85,17115002500,172429986
86,17115002200,167365434
87,17115002800,338583011
88,17115002904,10477680
89,17115002700,163586185
90,17115001100,6380771
91,17055040400,108935753
92,17115002100,9853345
93,17143001600,2077474
94,17115001801,6380618
95,17115000300,2424495
96,17115002901,64562722
97,17115002601,27247240
98,17115001500,16516129
99,17115002902,8202280
100,17163500500,1663642
101,17163500900,3023381
102,17155954500,122212032
103,17155954600,292437277
104,17139976900,398219906
105,17139977200,6722943
106,17139977100,208631328
107,17139977000,256560159
108,17055040200,141046093
109,17055040800,158248055
110,17055040300,17276368
111,17055040900,8504371
112,17199020900,41283541
113,17043842706,7710220
114,17043844301,5607968
115,17043844401,5170248
116,17143005000,1417086
117,17201000512,17077513
118,17031010300,472017
119,17031010400,548761
120,17031010600,495017
121,17031020100,411155
122,17031280800,237357
123,17031420300,245119
124,17031806600,2823386
125,17031806502,2499883
126,17031805902,3024498
127,17031100200,2104698
128,17031804805,3302496
129,17009970400,775721609
130,17009970500,16107019
131,17031020200,1241961
132,17031804202,13524221
133,17031804701,12575109
134,17031803605,3191636
135,17031130200,2075997
136,17031804306,2536348
137,17031020400,555577
138,17031080202,155240
139,17031240200,166088
140,17031824105,4408747
141,17031611800,327809
142,17169970300,350987459
143,17169970200,17528433
144,17169970100,764086993
145,17199020800,422524467
146,17199021000,34590532
147,17199020100,63785137
148,17199020300,42534096
149,17199020600,44738700
150,17199021200,8544282
151,17031829901,13662313
152,17031818600,2478072
153,17031804807,2364666
154,17199021300,83558393
155,17031811600,2931455
156,17031060200,318279
157,17031221200,330421
158,17031826500,3535059
159,17031825302,5837509
160,17031824107,3813486
161,17031830202,3150250
162,17031061200,174670
163,17201002301,4995755
164,17031808200,2630428
165,17199020400,2783956
166,17031030200,666198
167,17031030300,314151
168,17031030400,346486
169,17031030900,408716
170,17031031000,424897
171,17031823603,2164913
172,17031980000,19889615
173,17031822400,2388206
174,17031815702,3331643
175,17031600600,394134
176,17031817900,3310338
177,17031811900,3572449
178,17031420600,243609
179,17031110100,1844324
180,17031031400,1489274
181,17031040900,321854
182,17031050200,652253
183,17031050300,380031
184,17147954600,65445815
185,17147954500,434630801
186,17147954700,299016983
187,17147954800,338398485
188,17199020500,4929739
189,17199021100,3336046
190,17199021400,251920496
191,17199020700,47211023
192,17031801800,10726802
193,17099961701,50126399
194,17031800400,2969026
195,17031071700,159951
196,17031031800,235150
