,dates,Illinois_UnitedStates.Apple_DrivingMobility.data
0,2020-01-22,100.94
0,2020-01-23,103.07
0,2020-01-24,121.44
0,2020-01-25,119.73
0,2020-01-26,86.67
0,2020-01-27,94.56
0,2020-01-28,98.35
0,2020-01-29,99.51
0,2020-01-30,104.9
0,2020-01-31,125.43
0,2020-02-01,124.86
0,2020-02-02,87.42
0,2020-02-03,96.24
0,2020-02-04,98.86
0,2020-02-05,101.67
0,2020-02-06,104.18
0,2020-02-07,119.92
0,2020-02-08,126.0
0,2020-02-09,89.94
0,2020-02-10,99.95
0,2020-02-11,106.5
0,2020-02-12,107.08
0,2020-02-13,115.23
0,2020-02-14,146.13
0,2020-02-15,139.61
0,2020-02-16,109.95
0,2020-02-17,111.35
0,2020-02-18,105.53
0,2020-02-19,106.8
0,2020-02-20,112.35
0,2020-02-21,134.5
0,2020-02-22,139.75
0,2020-02-23,102.31
0,2020-02-24,101.12
0,2020-02-25,101.45
0,2020-02-26,104.36
0,2020-02-27,115.5
0,2020-02-28,140.27
0,2020-02-29,144.06
0,2020-03-01,107.71
0,2020-03-02,106.76
0,2020-03-03,109.95
0,2020-03-04,112.44
0,2020-03-05,118.13
0,2020-03-06,141.76
0,2020-03-07,147.82
0,2020-03-08,109.11
0,2020-03-09,106.23
0,2020-03-10,110.9
0,2020-03-11,109.1
0,2020-03-12,107.43
0,2020-03-13,121.99
0,2020-03-14,106.44
0,2020-03-15,77.25
0,2020-03-16,82.12
0,2020-03-17,78.3
0,2020-03-18,69.33
0,2020-03-19,67.9
0,2020-03-20,75.5
0,2020-03-21,56.83
0,2020-03-22,37.41
0,2020-03-23,49.54
0,2020-03-24,52.9
0,2020-03-25,56.99
0,2020-03-26,54.43
0,2020-03-27,60.51
0,2020-03-28,52.2
0,2020-03-29,42.88
0,2020-03-30,54.91
0,2020-03-31,55.2
0,2020-04-01,57.41
0,2020-04-02,59.04
0,2020-04-03,66.64
0,2020-04-04,56.18
0,2020-04-05,46.41
0,2020-04-06,56.14
0,2020-04-07,60.82
0,2020-04-08,59.14
0,2020-04-09,60.53
0,2020-04-10,69.07
0,2020-04-11,62.17
0,2020-04-12,40.94
0,2020-04-13,58.37
0,2020-04-14,60.7
0,2020-04-15,65.27
0,2020-04-16,67.21
0,2020-04-17,70.29
0,2020-04-18,72.86
0,2020-04-19,58.04
0,2020-04-20,70.6
0,2020-04-21,69.35
