"","X.x","GEOID","countyFIPS","POPULATION","POP_DENSITY","Shape_Area","NUM_WORKERS","EMPLOYMENT_DENSITY","No..Hospitals","No..Populated.Places","Total.Points.of.Interest","exposure_entropy","cases1","cases2","cases3","cases4","income","X.y","exposure1","exposure2","exposure3","exposure4","county_pop","estimate_cases1","estimate_cases2","estimate_cases3","estimate_cases4","estimate_cases1_density","estimate_cases2_density","estimate_cases3_density","estimate_cases4_density","pop_density_class","income_class"
"1",0,17091011700,17091,3417,7.05987286464,6.6359397847e-05,46799,2.4421255746775,0,0,8,2.40953952932858,1,845,1207,3786,20571.874,0,0.000333837289304157,0.000871123355821801,0.0018017568549799,0.00205416737039735,113449,0.0301192606369382,25.4507752382128,36.3539475887844,114.031520771448,453.88086110097,383529.327630319,547834.19934887,1718392.94012827,"3","1"
"2",1,17091011800,17091,2627,5.83879439916,9.8985790421e-05,46799,1.3272683497515,0,1,3,2.45987429846009,1,845,1207,3786,60197.261,0,0.000324669159788458,0.00084763119662547,0.00175571943380954,0.00200067208166015,113449,0.0231557792488255,19.5666334652575,27.9490255533323,87.6677802360532,233.930336367885,197671.134230863,282353.915996037,885660.253488811,"2","2"
"3",2,17119400951,17119,4966,3.77242790847,0.000184364584662,1237055,0.566353191575033,0,0,4,2.06309870711242,1,512,864,7592,71223.484,0,0.000517182479026212,0.000887118848207006,0.00178214033610324,0.0052927501402978,269282,0.0184416336777059,9.44211644298542,15.9335714975379,140.008882881143,100.028070529464,51214.3721110856,86424.252937457,759413.111459692,"2","3"
"4",3,17119400952,17119,3335,2.7777859108,0.000313628063658,1237055,0.242828196371,0,1,2,2.79806730118319,1,512,864,7592,57223.811,0,0.000201627396075437,0.000348130856021125,0.000707480961669251,0.00213845841913084,269282,0.0123847862092528,6.34101053913741,10.7004552847944,94.0252969006469,39.4887691643498,20218.2498121471,34118.2965579982,299798.735495743,"2","2"
"5",4,17135957500,17135,3273,0.128182617555925,0.011776500483063,0,0.040990093246667,0,7,49,1.03947547193247,0,39,44,671,68961.929,NA,NA,NA,NA,NA,30104,0,4.240200637789,4.7838161041722,72.9531955886261,0,360.056083204622,406.217119512906,6194.81107257182,"1","2"
"6",5,17119401100,17119,6505,6.920252490805,6.7116306195e-05,1237055,2.569606622285,1,1,22,2.62687747690336,1,512,864,7592,57324.648,0,0.000326378122531799,0.000562284822840481,0.00113672312409634,0.00341660030836507,269282,0.024156831871421,12.3682979181676,20.8715027369078,183.398667567829,359.924930928643,184281.564635465,310975.140322348,2732550.07561026,"3","2"
"7",6,17119401500,17119,2763,6.07152674655,0.000127574742303,1237055,0.4874631792503,0,1,3,2.37005373202389,1,512,864,7592,45088.228,0,7.10784970648033e-05,0.000122980848420479,0.000250171641201498,0.000760586942742319,269282,0.0102606189793599,5.25343691743228,8.86517479816698,77.8986192913006,80.4282947716262,41179.2869230726,69490.046682685,610611.613906186,"2","1"
"8",7,17119401722,17119,2684,5.374394120795,0.000116799788721,1237055,2.00862236603,0,1,1,2.71862673735379,1,512,864,7592,58808.054,0,0.000114245657162769,0.000197602956070704,0.000402297885829823,0.00122215622189289,269282,0.00996724623257403,5.1032300710779,8.61170074494396,75.671333397702,85.3361666294005,43692.1173142531,73730.447967802,647872.177050409,"2","2"
"9",8,17189950200,17189,3795,0.06078197239748,0.00862914874631,0,0.015509767953752,0,10,30,1.5324347769259,1,18,19,351,78230.491,0,0.0033743342376959,0.000246524785918442,0.000402829341517163,0.00226053189144004,14716,0.25788257678717,4.64188638216907,4.89976895895624,90.5167844522968,29.8850540613808,537.930973104854,567.816027166235,10489.6539755447,"1","3"
"10",9,17189950400,17189,4231,0.04042634898282,0.012109212001362,0,0.00632505359853,0,12,48,1.12972441590069,1,18,19,351,75449.953,0,0.00242774252009748,0.000179645735288943,0.000298915800718308,0.00163812280936048,14716,0.287510192987225,5.17518347377005,5.46269366675727,100.916077738516,23.743096822063,427.375742797133,451.118839619196,8333.8269845441,"1","3"
"11",10,17189950300,17189,3355,1.009584681235,0.000764929124416,0,0.59462233475,1,1,15,0.742043077168445,1,18,19,351,70377.576,0,0.00409934759647188,0.000312192159150396,0.000510676772223707,0.00278866115933643,14716,0.227983147594455,4.10369665670019,4.33167980429465,80.0220848056537,298.044799599588,5364.80639279258,5662.85119239217,104613.724659455,"1","3"
"12",11,17189950100,17189,3335,0.08006938119838,0.008754446204996,0,0.016147297115068,0,9,41,1.87434715877167,1,18,19,351,68195.322,0,0.00127166107848772,9.16978845685488e-05,0.000148863854228966,0.000852453621486201,14716,0.22662408263115,4.0792334873607,4.30585756999185,79.5450530035336,25.8867411283902,465.961340311024,491.848081439414,9086.24613606497,"1","2"
"13",12,17161024000,17161,4106,0.934034463323,0.000635045511996,168173,0.186748149749675,0,1,11,2.68600487690487,0,624,896,4419,83572.892,NA,NA,NA,NA,NA,147546,0,17.36505225489,24.9344340070215,122.974624862755,0,27344.579131518,39264.0110606413,193646.947407337,"1","3"
