GEOID,Area_Name,percent2,income2,percent3,income3,percent4,income4,percent5,income5,percent6,income6,percent7,income7
1400000US17001000100,"Census Tract 1, Adams County, Illinois",54.2,50057,17.7,60833,19.3,67625,5.6,43828,3.1,-,0,0
1400000US17001000201,"Census Tract 2.01, Adams County, Illinois",54.6,49167,25.4,55982,11.6,46750,7.8,92031,0,-,0.7,-
1400000US17001000202,"Census Tract 2.02, Adams County, Illinois",54.3,56447,16.9,72250,18.5,61625,6.9,91932,0.8,-,2.5,-
1400000US17001000400,"Census Tract 4, Adams County, Illinois",44,32656,23.6,25872,28.1,60882,2,-,2.4,-,0,-
1400000US17001000500,"Census Tract 5, Adams County, Illinois",49.1,48672,23,50139,13.5,48958,8.5,46000,5.9,-,0,-
1400000US17001000600,"Census Tract 6, Adams County, Illinois",61.2,73056,13.2,68571,14.6,87841,5.4,-,4.8,63333,0.7,-
1400000US17001000700,"Census Tract 7, Adams County, Illinois",84.5,22841,5.4,-,10.1,-,0,-,0,-,0,-
1400000US17001000800,"Census Tract 8, Adams County, Illinois",32,35326,34.3,46818,24.6,24301,6.5,40917,2.6,-,0,-
1400000US17001000900,"Census Tract 9, Adams County, Illinois",48.3,49181,22.1,51406,26.5,36176,0,-,3.1,-,0,-
1400000US17001001001,"Census Tract 10.01, Adams County, Illinois",52,73125,20.7,66250,19,58250,7.4,110972,0.9,-,0,-
1400000US17001001002,"Census Tract 10.02, Adams County, Illinois",55.7,54545,15.3,77500,12.8,79444,15,76583,1.2,-,0,-
1400000US17001001100,"Census Tract 11, Adams County, Illinois",63.3,59107,13.3,96397,11.9,122014,8,94896,3.6,-,0,-
1400000US17001010100,"Census Tract 101, Adams County, Illinois",54.6,53487,20.6,72639,15,80313,7,75417,2.5,-,0.3,-
1400000US17001010200,"Census Tract 102, Adams County, Illinois",52.5,49886,26,58929,13.8,80625,5.4,87778,2.2,72344,0.2,-
1400000US17001010300,"Census Tract 103, Adams County, Illinois",52,53458,21.5,63493,15.1,91136,8.9,125250,0.3,-,2.2,44293
1400000US17001010400,"Census Tract 104, Adams County, Illinois",48.5,67396,18.9,86771,21.5,85417,10,93750,0,-,1.1,-
1400000US17001010500,"Census Tract 105, Adams County, Illinois",67.7,79375,10.2,87981,19,108654,1.8,-,1.3,-,0,-
1400000US17001010600,"Census Tract 106, Adams County, Illinois",55.2,79643,13.4,101923,11.8,109531,9,91169,7.8,84190,2.8,113352
1400000US17003957600,"Census Tract 9576, Alexander County, Illinois",54.5,44375,24.5,84107,9.3,72917,4.2,35208,5,-,2.6,-
1400000US17003957700,"Census Tract 9577, Alexander County, Illinois",64.8,46827,15,81477,12.6,36607,4.8,-,2.9,-,0,-
1400000US17003957800,"Census Tract 9578, Alexander County, Illinois",49.2,36912,35,-,14.5,21823,0,-,0.3,-,1,-
1400000US17003957900,"Census Tract 9579, Alexander County, Illinois",48.5,28125,44.4,38426,1.1,-,6,-,0,-,0,-
1400000US17005951200,"Census Tract 9512, Bond County, Illinois",54.7,79583,24,77917,15.8,150833,4.4,94375,0,-,1.1,-
1400000US17005951300,"Census Tract 9513, Bond County, Illinois",48.8,64609,24.3,66875,18.2,70392,5.1,-,1,-,2.8,-
1400000US17005951400,"Census Tract 9514, Bond County, Illinois",54.5,58906,15.6,76250,18.8,83990,8.5,96667,1.3,-,1.3,-
1400000US17005951500,"Census Tract 9515, Bond County, Illinois",47.1,80156,27.7,88750,18.5,99167,3,72574,2.3,97188,1.3,35417
1400000US17007010100,"Census Tract 101, Boone County, Illinois",36.2,36379,27.6,48911,14.4,74333,14.3,64226,5.1,31397,2.4,56042
1400000US17007010200,"Census Tract 102, Boone County, Illinois",26.6,46906,36.9,53869,16.1,37303,17.9,-,2.4,-,0,-
1400000US17007010300,"Census Tract 103, Boone County, Illinois",43.3,56950,16.5,69554,16.3,71250,13.2,60230,0,-,10.7,109139
1400000US17007010400,"Census Tract 104, Boone County, Illinois",42.3,75379,23.2,68224,22.9,81114,8.8,100489,1.3,-,1.4,-
1400000US17007010500,"Census Tract 105, Boone County, Illinois",53.4,97527,15.8,101442,19.7,143882,7.3,124653,2,179028,1.9,-
1400000US17007010601,"Census Tract 106.01, Boone County, Illinois",41.1,71518,27.7,70250,20.1,91250,7.3,63438,2.1,83523,1.7,143438
1400000US17007010602,"Census Tract 106.02, Boone County, Illinois",34,55500,23.6,98472,23.2,88531,14.4,103403,2,67120,2.8,"250,000+"
1400000US17009970400,"Census Tract 9704, Brown County, Illinois",57.5,76625,20.5,91786,16.5,91890,3.9,-,0.3,-,1.3,-
1400000US17009970500,"Census Tract 9705, Brown County, Illinois",51.6,76250,29.6,59412,10.8,72500,4.2,-,2.9,-,1,-
1400000US17011964700,"Census Tract 9647, Bureau County, Illinois",52.8,81000,16.7,77143,23.2,81250,4.1,78750,2.6,131667,0.6,-
1400000US17011964800,"Census Tract 9648, Bureau County, Illinois",46,57500,21,75694,14.3,76042,12.5,82292,1.1,81667,5.2,-
1400000US17011964900,"Census Tract 9649, Bureau County, Illinois",53.9,65488,22.4,54327,18.9,78188,3.1,76806,0.1,-,1.6,-
1400000US17011965000,"Census Tract 9650, Bureau County, Illinois",52.1,70156,12.6,62500,14.6,62000,11.9,65417,4.5,60625,4.2,97000
1400000US17011965100,"Census Tract 9651, Bureau County, Illinois",58.9,55240,17.2,85577,16.3,86750,6.6,63333,0.6,-,0.3,-
1400000US17011965200,"Census Tract 9652, Bureau County, Illinois",54.2,45948,18.3,51591,20.1,115380,7.4,75250,0,-,0,-
1400000US17011965300,"Census Tract 9653, Bureau County, Illinois",50.3,70484,25.5,73245,13.2,101389,9.9,-,1.1,-,0,-
1400000US17011965400,"Census Tract 9654, Bureau County, Illinois",62.8,63958,18,115769,12.6,58854,4.2,83036,2.3,-,0,-
1400000US17011965500,"Census Tract 9655, Bureau County, Illinois",59.2,57407,16.5,83409,12.6,73750,6.8,102596,4.4,49306,0.4,-
1400000US17011965600,"Census Tract 9656, Bureau County, Illinois",61.4,58125,18.8,65000,12.2,74000,5.5,86250,1.7,100208,0.3,-
1400000US17013951200,"Census Tract 9512, Calhoun County, Illinois",60.9,64223,9.1,38472,21.1,101250,8.4,49844,0.5,-,0,-
1400000US17013951300,"Census Tract 9513, Calhoun County, Illinois",60.3,60469,13.5,89688,16.5,98000,7.2,112031,1.1,-,1.4,-
1400000US17015960100,"Census Tract 9601, Carroll County, Illinois",61,59917,17.7,62813,9.3,80000,6.5,63438,3.9,90000,1.5,155000
1400000US17015960200,"Census Tract 9602, Carroll County, Illinois",64.2,62500,23.3,82596,8.5,75536,3.4,95750,0.6,-,0,-
1400000US17015960300,"Census Tract 9603, Carroll County, Illinois",47.2,55694,22.1,54167,13.7,-,12.3,68854,4.7,-,0,-
1400000US17015960400,"Census Tract 9604, Carroll County, Illinois",62.9,52656,17.9,76167,14.5,70417,3.7,59844,0.7,-,0.4,-
1400000US17015960500,"Census Tract 9605, Carroll County, Illinois",57.2,63661,17,93375,19.4,86023,4,-,1.9,63000,0.5,-
1400000US17015960600,"Census Tract 9606, Carroll County, Illinois",59.6,73600,12.6,-,22.6,48750,3.4,130208,0.5,-,1.4,-
1400000US17017960100,"Census Tract 9601, Cass County, Illinois",54.4,57847,20.4,98500,18.1,58672,6.3,86645,0.5,-,0.3,-
1400000US17017960200,"Census Tract 9602, Cass County, Illinois",57.7,74545,18.1,62188,14.3,100909,6.1,94659,3.8,-,0,-
1400000US17017960300,"Census Tract 9603, Cass County, Illinois",47.2,62586,24.8,52083,16.2,63393,10.2,-,0.9,-,0.7,-
1400000US17017960400,"Census Tract 9604, Cass County, Illinois",56,43409,21.6,31168,15.3,66667,3.3,-,0.7,-,3.1,-
1400000US17017960500,"Census Tract 9605, Cass County, Illinois",46.6,32167,22.3,38750,10.8,52188,9.3,26250,8.3,85179,2.7,48750
1400000US17019000200,"Census Tract 2, Champaign County, Illinois",42.8,25882,21.7,26656,23.1,33000,5.4,-,7,-,0,-
1400000US17019000301,"Census Tract 3.01, Champaign County, Illinois",64.2,-,0,-,28.4,-,7.4,-,0,-,0,-
1400000US17019000302,"Census Tract 3.02, Champaign County, Illinois",100,-,0,-,0,-,0,-,0,-,0,-
1400000US17019000401,"Census Tract 4.01, Champaign County, Illinois",100,-,0,-,0,-,0,-,0,-,0,-
1400000US17019000402,"Census Tract 4.02, Champaign County, Illinois",100,15357,0,-,0,-,0,-,0,-,0,-
1400000US17019000500,"Census Tract 5, Champaign County, Illinois",54.5,96932,26.8,95388,13.8,55000,4.9,-,0,-,0,-
1400000US17019000700,"Census Tract 7, Champaign County, Illinois",48.2,37083,25.8,48165,12,-,10.4,113036,0.9,-,2.6,-
1400000US17019000800,"Census Tract 8, Champaign County, Illinois",51.8,56513,14.1,66903,18.8,52045,3.2,-,11.3,41687,0.8,-
1400000US17019000901,"Census Tract 9.01, Champaign County, Illinois",45.4,51719,17.6,34063,21.9,37222,12,40733,0,-,3,-
1400000US17019000902,"Census Tract 9.02, Champaign County, Illinois",47.2,73875,20.9,114044,18.5,87794,12.7,118162,0.7,-,0,-
1400000US17019001000,"Census Tract 10, Champaign County, Illinois",53.5,62206,24,77130,13.3,-,9.2,-,0,-,0,-
1400000US17019001100,"Census Tract 11, Champaign County, Illinois",57.9,79732,19.7,103173,19,114886,2.4,-,1,-,0,-
