"","Origin.Zone.ID","Destination.ID","Traffic.V"
"1",31,31,12799923
"2",43,43,2213413
"3",197,197,1868685
"4",97,97,1645530
"5",201,201,913605
"6",89,89,911687
"7",111,111,837315
"8",19,19,766080
"9",119,119,640109
"10",163,163,553333
"11",167,167,544022
"12",113,113,511067
"13",43,31,465912
"14",31,43,462183
"15",179,179,335592
"16",143,143,328297
"17",161,161,321180
"18",91,91,285226
"19",99,99,284686
"20",115,115,264224
"21",31,197,263030
"22",197,31,257863
"23",37,37,256529
"24",31,97,251564
"25",97,31,250160
"26",183,183,224750
"27",93,93,222918
"28",1,1,208807
"29",43,197,188232
"30",197,43,184135
"31",95,95,161274
"32",73,73,157433
"33",195,195,156223
"34",199,199,146951
"35",77,77,142477
"36",29,29,141518
"37",177,177,123607
"38",141,141,119257
"39",43,89,115606
"40",89,43,114546
"41",63,63,114208
"42",103,103,104359
"43",7,7,102447
"44",81,81,96961
"45",89,31,95832
"46",31,89,95325
"47",49,49,90455
"48",109,109,82739
"49",55,55,81704
"50",27,27,81282
"51",157,157,76987
"52",137,137,75424
"53",105,105,75422
"54",121,121,73846
"55",133,133,72600
"56",117,117,72360
"57",89,111,69483
"58",57,57,68488
"59",21,21,68439
"60",111,89,67095
"61",203,203,66779
"62",11,11,66155
"63",165,165,65182
"64",107,107,64780
"65",97,111,61970
"66",143,179,61815
"67",135,135,59671
"68",111,97,59506
"69",179,143,58072
"70",75,75,57903
"71",89,93,51205
"72",93,89,50801
"73",197,93,47693
"74",93,197,46481
"75",31,111,45016
"76",51,51,44373
"77",111,31,44276
"78",187,187,44000
"79",159,159,43964
"80",201,7,43787
"81",163,119,43225
"82",119,163,42963
"83",33,33,42691
"84",41,41,41137
"85",7,201,41131
"86",85,85,40411
"87",23,23,38868
"88",45,45,37985
"89",39,39,37856
"90",145,145,37674
"91",197,63,35470
"92",63,197,35372
"93",53,53,35356
"94",181,181,35192
"95",191,191,35019
"96",83,83,34238
"97",193,193,33482
"98",25,25,32354
"99",5,5,30420
"100",147,147,29333
"101",43,93,29188
"102",173,173,28805
"103",93,43,28680
"104",125,125,27921
"105",185,185,26029
"106",149,149,25770
"107",189,189,25154
"108",15,15,24980
"109",101,101,24080
"110",67,67,23737
"111",17,17,23580
"112",131,131,22230
"113",127,127,22020
"114",139,139,19879
"115",161,73,19430
"116",89,197,18741
"117",87,87,18714
"118",197,89,18690
"119",123,123,18183
"120",103,195,16869
"121",129,129,16170
"122",37,89,15457
"123",179,203,15449
"124",97,43,15300
"125",43,97,15256
"126",199,77,15051
"127",201,141,15038
"128",89,37,14990
