Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume)
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),266618
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),46420
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),91089
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),82021
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),274042
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),52915
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),88291
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),87113
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),235050
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),29659
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),94285
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),67380
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),39966
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),7380
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),12151
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),12789
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),40538
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),8130
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),11526
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),13671
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),35451
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),5337
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),13038
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),9839
All Vehicles - StL All Vehicles Volume,Origin,103,LEE,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),171631
All Vehicles - StL All Vehicles Volume,Origin,103,LEE,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),34358
All Vehicles - StL All Vehicles Volume,Origin,103,LEE,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),57655
All Vehicles - StL All Vehicles Volume,Origin,103,LEE,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),50954
All Vehicles - StL All Vehicles Volume,Origin,103,LEE,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),173097
All Vehicles - StL All Vehicles Volume,Origin,103,LEE,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),37574
All Vehicles - StL All Vehicles Volume,Origin,103,LEE,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),54957
All Vehicles - StL All Vehicles Volume,Origin,103,LEE,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),53597
All Vehicles - StL All Vehicles Volume,Origin,103,LEE,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),157751
All Vehicles - StL All Vehicles Volume,Origin,103,LEE,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),25372
All Vehicles - StL All Vehicles Volume,Origin,103,LEE,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),61964
All Vehicles - StL All Vehicles Volume,Origin,103,LEE,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),42557
All Vehicles - StL All Vehicles Volume,Origin,105,LIVINGSTON,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),132694
All Vehicles - StL All Vehicles Volume,Origin,105,LIVINGSTON,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),26437
All Vehicles - StL All Vehicles Volume,Origin,105,LIVINGSTON,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),42111
All Vehicles - StL All Vehicles Volume,Origin,105,LIVINGSTON,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),40384
All Vehicles - StL All Vehicles Volume,Origin,105,LIVINGSTON,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),136873
All Vehicles - StL All Vehicles Volume,Origin,105,LIVINGSTON,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),29405
All Vehicles - StL All Vehicles Volume,Origin,105,LIVINGSTON,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),40780
All Vehicles - StL All Vehicles Volume,Origin,105,LIVINGSTON,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),43359
All Vehicles - StL All Vehicles Volume,Origin,105,LIVINGSTON,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),115270
All Vehicles - StL All Vehicles Volume,Origin,105,LIVINGSTON,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),18584
All Vehicles - StL All Vehicles Volume,Origin,105,LIVINGSTON,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),43908
All Vehicles - StL All Vehicles Volume,Origin,105,LIVINGSTON,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),31361
All Vehicles - StL All Vehicles Volume,Origin,107,LOGAN,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),94534
All Vehicles - StL All Vehicles Volume,Origin,107,LOGAN,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),18671
All Vehicles - StL All Vehicles Volume,Origin,107,LOGAN,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),30166
All Vehicles - StL All Vehicles Volume,Origin,107,LOGAN,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),28642
All Vehicles - StL All Vehicles Volume,Origin,107,LOGAN,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),95914
All Vehicles - StL All Vehicles Volume,Origin,107,LOGAN,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),20722
All Vehicles - StL All Vehicles Volume,Origin,107,LOGAN,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),28284
All Vehicles - StL All Vehicles Volume,Origin,107,LOGAN,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),30201
All Vehicles - StL All Vehicles Volume,Origin,107,LOGAN,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),85092
All Vehicles - StL All Vehicles Volume,Origin,107,LOGAN,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),13156
All Vehicles - StL All Vehicles Volume,Origin,107,LOGAN,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),33022
All Vehicles - StL All Vehicles Volume,Origin,107,LOGAN,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),23300
All Vehicles - StL All Vehicles Volume,Origin,109,MCDONOUGH,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),105914
All Vehicles - StL All Vehicles Volume,Origin,109,MCDONOUGH,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),18314
All Vehicles - StL All Vehicles Volume,Origin,109,MCDONOUGH,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),36746
All Vehicles - StL All Vehicles Volume,Origin,109,MCDONOUGH,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),31888
All Vehicles - StL All Vehicles Volume,Origin,109,MCDONOUGH,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),111057
All Vehicles - StL All Vehicles Volume,Origin,109,MCDONOUGH,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),20831
All Vehicles - StL All Vehicles Volume,Origin,109,MCDONOUGH,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),37517
All Vehicles - StL All Vehicles Volume,Origin,109,MCDONOUGH,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),34612
All Vehicles - StL All Vehicles Volume,Origin,109,MCDONOUGH,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),88384
All Vehicles - StL All Vehicles Volume,Origin,109,MCDONOUGH,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),11785
All Vehicles - StL All Vehicles Volume,Origin,109,MCDONOUGH,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),33443
