Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Trip Duration 0-10 min (percent),Trip Duration 10-20 min (percent),Trip Duration 20-30 min (percent),Trip Duration 30-40 min (percent),Trip Duration 40-50 min (percent),Trip Duration 50-60 min (percent),Trip Duration 60-70 min (percent),Trip Duration 70-80 min (percent),Trip Duration 80-90 min (percent),Trip Duration 90-100 min (percent),Trip Duration 100-110 min (percent),Trip Duration 110-120 min (percent),Trip Duration 120-130 min (percent),Trip Duration 130-140 min (percent),Trip Duration 140-150 min (percent),Trip Duration 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70-80 mph (percent),Trip Speed 80-90 mph (percent),Trip Speed 90+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),266618,1547,1619,8.6,8.8,16,16,2.078,0.162,0.334,0.213,0.118,0.066,0.037,0.022,0.013,0.009,0.006,0.004,0.003,0.002,0.002,0.002,0.007,0.083,0.168,0.377,0.175,0.097,0.049,0.019,0.010,0.005,0.003,0.002,0.001,0.001,0.010,0.372,0.360,0.141,0.069,0.038,0.016,0.004,0.000,0.000,0.000,0.809,0.093,0.033,0.018,0.011,0.036
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),46420,1630,1701,9.9,10.1,17,17,2.075,0.147,0.333,0.220,0.122,0.066,0.036,0.021,0.013,0.009,0.006,0.004,0.004,0.003,0.003,0.003,0.010,0.070,0.150,0.381,0.182,0.108,0.053,0.018,0.009,0.005,0.003,0.002,0.002,0.001,0.016,0.343,0.369,0.149,0.074,0.040,0.020,0.005,0.000,0.000,0.000,0.812,0.093,0.033,0.017,0.010,0.035
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),91089,1554,1639,8.3,8.5,15,15,2.137,0.165,0.334,0.209,0.116,0.065,0.038,0.022,0.014,0.009,0.006,0.004,0.003,0.003,0.002,0.002,0.008,0.090,0.183,0.382,0.167,0.085,0.043,0.017,0.009,0.005,0.003,0.002,0.002,0.001,0.011,0.410,0.358,0.125,0.057,0.032,0.015,0.003,0.000,0.000,0.000,0.798,0.098,0.035,0.019,0.012,0.038
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),82021,1518,1585,8.2,8.4,16,16,2.048,0.159,0.335,0.214,0.122,0.068,0.039,0.023,0.013,0.008,0.005,0.004,0.002,0.002,0.001,0.001,0.004,0.081,0.165,0.373,0.179,0.100,0.052,0.021,0.010,0.005,0.003,0.002,0.001,0.001,0.007,0.368,0.363,0.143,0.071,0.038,0.014,0.003,0.000,0.000,0.000,0.812,0.092,0.033,0.018,0.010,0.035
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),274042,1513,1589,8.1,8.4,16,16,2.085,0.163,0.340,0.214,0.117,0.064,0.037,0.021,0.013,0.008,0.005,0.004,0.003,0.002,0.002,0.001,0.006,0.082,0.169,0.385,0.175,0.094,0.048,0.018,0.009,0.005,0.003,0.002,0.001,0.001,0.008,0.374,0.367,0.140,0.066,0.036,0.014,0.003,0.000,0.000,0.000,0.808,0.093,0.034,0.018,0.011,0.036
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),52915,1572,1645,9.1,9.4,17,17,2.082,0.148,0.336,0.223,0.123,0.065,0.036,0.021,0.013,0.008,0.005,0.004,0.003,0.003,0.002,0.002,0.008,0.069,0.152,0.387,0.182,0.107,0.053,0.018,0.009,0.005,0.003,0.002,0.001,0.001,0.011,0.342,0.375,0.149,0.074,0.039,0.017,0.004,0.000,0.000,0.000,0.810,0.094,0.033,0.017,0.011,0.035
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),88291,1520,1614,7.7,8.0,15,15,2.175,0.169,0.337,0.209,0.113,0.063,0.037,0.022,0.014,0.009,0.006,0.004,0.003,0.002,0.002,0.002,0.008,0.093,0.188,0.392,0.165,0.078,0.039,0.016,0.008,0.005,0.003,0.002,0.001,0.001,0.009,0.423,0.365,0.118,0.051,0.028,0.012,0.003,0.000,0.000,0.000,0.791,0.099,0.037,0.020,0.012,0.041
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),87113,1487,1557,7.8,8.0,16,16,2.048,0.158,0.339,0.215,0.122,0.068,0.039,0.022,0.012,0.008,0.005,0.003,0.002,0.002,0.001,0.001,0.003,0.080,0.163,0.383,0.180,0.099,0.051,0.020,0.009,0.005,0.002,0.001,0.001,0.001,0.005,0.368,0.370,0.142,0.069,0.037,0.012,0.002,0.000,0.000,0.000,0.811,0.093,0.033,0.018,0.010,0.035
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),235050,1600,1662,9.6,9.7,17,17,2.040,0.164,0.328,0.209,0.118,0.067,0.038,0.023,0.014,0.009,0.006,0.005,0.004,0.003,0.002,0.002,0.008,0.085,0.167,0.359,0.173,0.103,0.053,0.021,0.011,0.006,0.004,0.002,0.002,0.001,0.013,0.362,0.344,0.151,0.075,0.043,0.020,0.005,0.000,0.000,0.000,0.820,0.090,0.031,0.016,0.010,0.033
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),29659,1849,1905,13.2,13.2,18,18,2.031,0.149,0.322,0.207,0.114,0.064,0.037,0.021,0.017,0.011,0.008,0.007,0.006,0.006,0.006,0.005,0.020,0.074,0.146,0.361,0.177,0.112,0.051,0.017,0.009,0.006,0.004,0.003,0.003,0.003,0.034,0.338,0.338,0.155,0.077,0.047,0.033,0.011,0.001,0.000,0.000,0.822,0.088,0.031,0.015,0.010,0.034
