,FIPS,inflow_exposure1,inflow_exposure2,inflow_exposure3,inflow_exposure4
0,17001000100,8456.574365455672,399460.0909469402,1683733.5046549896,59066682.084591165
0,17001000201,941.9166518442054,53569.66138175802,234013.42397261536,8661985.471456653
0,17001000202,2004.0649221663357,105479.10779501301,453968.0204498931,16469776.54031216
0,17001000400,2918.783104298319,149217.5059559484,638503.4687892837,22981173.299509224
0,17001000500,1126.0525403888985,61786.08383620064,267854.23527478427,9828331.394950172
0,17001000600,3965.237796921037,196643.89021531044,836950.1734991793,29832380.016842876
0,17001000700,89.75587386028239,6944.163628964172,31475.271999126206,1248372.4903473738
0,17001000800,817.7331653728727,46943.330527036705,204964.96237540725,7609626.287936418
0,17001000900,1849.2963606798457,98456.83504559437,424578.96196478937,15451558.645344675
0,17001001001,4190.804295943945,207908.32833531083,885226.0177542549,31871794.067105256
0,17001001002,3247.9629741530593,166142.9400390712,711554.3291575253,25660371.028977193
0,17001001100,34476.43290232864,1515831.3640504454,6292219.206657825,215486500.43329307
0,17001010100,2073.800503902796,108334.2407885704,466377.13658024516,17018632.23705865
0,17001010200,504.515449247465,30475.22279000233,135798.7355679918,5142006.5196859585
0,17001010300,4463.441124307545,220036.90204662626,935964.952756927,33310119.896762103
0,17001010400,4324.907196766085,214136.58546201815,911615.1323102327,32486999.757050302
0,17001010500,3734.4178144436455,187165.96077329764,798139.4515824487,28541152.652090047
0,17001010600,17666.095824971075,806523.3724742793,3375364.0439807028,117035800.64606555
0,17019000200,74.15165062570735,142681.83754267494,369352.3742500731,4145584.1703192946
0,17019000301,105.06996356050692,161527.32399855807,416694.36700145225,4647936.357440666
0,17019000302,81.98133747923455,121615.44940308286,311284.43572642596,3451126.3823913764
0,17019000401,128.35841709173076,203508.65147637442,605164.6666635475,6180648.35563574
0,17019000402,154.78940187651193,211896.35421264125,588490.66789676,6140380.552011369
0,17019000500,1835.336257514689,1773354.4322756904,4463343.183598571,47533685.283799306
0,17019000700,354.02766030032427,499821.072150643,1279616.7754137157,14106869.435734747
0,17019000800,3733.968777969388,3795231.447922764,9852066.209111614,102310527.65469901
0,17019000901,1611.3088282091398,1877965.9018220932,4787192.14778969,51818930.75717431
0,17019000902,6144.333019698864,5692223.642242461,14364605.336798282,151364091.17028362
0,17019001000,2755.086858865373,2820318.910917119,7170312.163123462,76168892.99992734
0,17019001100,1479.5448873325654,1436080.1926507603,3615863.3131053112,38516769.44856175
0,17019001201,5395.670907467329,5214633.392309722,13223521.852922197,140189039.47007152
0,17019001203,3146.9411951339903,2964289.8729302497,7453598.5876793945,79126328.37167777
0,17019001204,2246.5704008559765,2126152.9510870543,5357578.025048744,56818477.9259101
0,17019001205,6978.627602427225,6105931.166914811,15281657.823409963,160813900.46512863
0,17019001206,339.45432341773284,434704.9517069809,1115386.9670361609,12146703.339220647
0,17019001301,6873.034717044232,6079759.1900359765,15228107.74895308,160470241.4336373
0,17019001302,3465.6619052783653,3152398.86841413,7909827.735107227,83606278.84693642
0,17019001400,5928.968108709817,5707292.909415856,14668909.53661092,154355075.98190218
0,17019005300,1179.7391736132806,1355732.8212076207,3456761.5040477035,37359178.96697278
0,17019005401,1491.5088488659806,1611002.0951589916,4152526.3854839946,43725416.54655468
0,17019005402,733.3410782039618,893651.3213470846,2276325.3246380924,24793910.711905923
0,17019005500,2742.2663932169366,2594053.138980782,6520778.375326808,69265870.66943423
0,17019005600,6664.5087297538275,6140075.97958833,15490129.405238945,163588678.78765142
0,17019005701,4262.619929712624,3736690.3392053284,9354157.946284374,98454685.54157364
0,17019005702,1152.2780740865276,1225625.7603860826,3101340.34890923,33362998.13601606
0,17019005800,3012.1413486283036,2568888.1675430187,6419596.86539608,67334830.3694133
0,17019005900,669.1864306217271,783510.9700644187,2034272.7747691867,21827472.631643582
0,17019006000,450.04574989228036,495986.799266544,1289900.4335961603,13758657.268972527
0,17019010100,1661.055594486656,1725057.6400169854,4410864.010259801,46965221.82341666
0,17019010204,1698.3595373300893,1760584.699118962,4526182.684724873,47908690.6465414
0,17019010300,735.053362474343,896346.7092059902,2280457.2045511454,24865465.765747353
0,17019010400,815.7825630750926,947898.0292341285,2512810.7653229665,26470503.490493886
0,17019010500,1241.3468923847138,1361716.6844396114,3588753.5936514423,37691565.055368625
0,17019010601,4844.0675132372335,4502907.977125693,11513568.885707216,120071471.21300651
0,17019010603,8279.952408970614,7356515.294711692,18680265.75799132,195347950.27974835
0,17019010604,331.9535185396092,413628.26612104615,1096358.4173460915,11682222.379982632
0,17019010700,7871.593436204659,6948068.477203442,17513153.710408647,183040216.12910017
0,17019010800,917.5308286429477,941464.0066812275,2377316.2842020495,25490796.800707456
0,17019010900,10182.219253858379,8762719.00440062,22055242.521126986,229758528.84952787
0,17019011000,2152.0529929321046,2050104.1685654987,5159185.507789176,54830548.874855384
0,17019011100,137.80087545067224,180456.20872955964,461149.3728847362,5051309.882120964
0,17027900100,97572.50138002037,5488712.9747836925,14085737.577293336,143504513.7540924
0,17027900200,6906.928204936617,430566.168109329,1115709.6180310037,11747474.9279414
0,17027900300,156155.09056985544,8389155.830783246,21275760.562430553,215051434.77399814
0,17027900401,942.8023849629149,68338.4243496502,184710.4445926943,2014836.586451209
0,17027900402,43272.92157479666,2474818.834726212,6388570.164195201,65806609.82654826
0,17027900500,85439.89302080075,4899290.210779659,12806667.561822081,133347989.63717277
0,17027900601,14542.594568935974,884675.6200641469,2289492.545043075,23966030.66366413
0,17027900602,105965.4920494399,5915341.882707054,15219099.025395669,154068118.81243512
0,17031010100,35162.467588922394,7864197.014059907,18716710.320495106,42851249.80048593
0,17031010201,48195.38687919287,10455592.655377781,24782784.231118303,56633635.360645674
0,17031010202,9479.90626276407,2291426.5569843617,5474042.858224057,12605097.55488002
0,17031010300,83525.14407373847,17558370.82776215,41467440.319646135,94553375.36524865
0,17031010400,53022.54897283428,11348012.970104197,26860032.75293562,61305819.41894156
0,17031010501,38722.66898076573,8742922.557695348,20780597.578608602,47651967.73971643
