"","Origin.ID","Destination.ID","Traffic.V"
"1",31,31,14152139
"2",43,43,2401089
"3",197,197,2032333
"4",97,97,1819098
"5",201,201,1023216
"6",89,89,1011688
"7",111,111,974750
"8",19,19,804191
"9",119,119,712971
"10",163,163,612563
"11",167,167,596097
"12",113,113,544781
"13",43,31,505183
"14",31,43,497375
"15",179,179,383766
"16",161,161,370239
"17",143,143,354591
"18",99,99,353201
"19",91,91,331247
"20",115,115,321337
"21",37,37,297286
"22",31,197,286423
"23",197,31,282592
"24",31,97,277274
"25",97,31,276097
"26",1,1,246514
"27",183,183,246324
"28",93,93,241321
"29",43,197,202355
"30",197,43,198081
"31",95,95,187752
"32",73,73,187523
"33",195,195,185503
"34",199,199,175384
"35",77,77,165653
"36",29,29,161652
"37",141,141,143575
"38",177,177,142128
"39",103,103,133212
"40",63,63,130367
"41",89,43,126166
"42",43,89,125461
"43",7,7,118219
"44",81,81,110685
"45",89,31,108352
"46",31,89,106336
"47",49,49,103568
"48",55,55,101316
"49",27,27,96647
"50",109,109,96461
"51",105,105,95005
"52",157,157,92377
"53",117,117,88531
"54",57,57,88309
"55",137,137,88005
"56",121,121,86862
"57",133,133,82974
"58",203,203,80686
"59",21,21,80470
"60",11,11,79287
"61",89,111,79170
"62",165,165,77643
"63",111,89,77146
"64",107,107,76490
"65",75,75,75957
"66",135,135,75350
"67",97,111,70001
"68",111,97,68304
"69",143,179,66462
"70",179,143,62578
"71",85,85,58400
"72",159,159,55420
"73",89,93,55371
"74",93,89,54914
"75",51,51,54418
"76",187,187,51324
"77",31,111,50605
"78",197,93,50601
"79",111,31,50304
"80",33,33,50232
"81",201,7,49963
"82",23,23,49944
"83",93,197,49839
"84",41,41,49815
"85",39,39,47774
"86",163,119,47611
"87",7,201,47326
"88",119,163,47260
"89",45,45,45046
"90",53,53,44300
"91",145,145,43291
"92",191,191,42518
"93",181,181,41262
"94",83,83,41061
"95",63,197,40472
"96",197,63,40148
"97",193,193,39200
"98",25,25,38932
"99",5,5,37578
"100",147,147,36688
"101",173,173,36527
"102",125,125,35449
"103",149,149,34108
"104",15,15,33721
"105",67,67,33433
"106",43,93,30392
"107",93,43,30068
"108",185,185,29824
"109",189,189,29602
"110",17,17,29571
"111",101,101,28871
"112",131,131,28246
"113",127,127,25814
"114",139,139,25590
"115",161,73,24193
"116",123,123,23721
"117",87,87,23110
"118",129,129,21624
"119",89,197,21448
"120",197,89,21290
"121",61,61,19783
"122",103,195,19646
"123",37,89,18857
"124",179,203,18410
"125",89,37,18060
"126",201,141,17708
"127",79,79,17514
"128",199,77,17368
"129",141,201,17024
"130",43,97,16983
"131",97,43,16912
"132",73,161,16892
"133",203,179,16832
"134",77,199,16831
"135",91,197,16821
"136",99,11,16525
"137",65,65,16313
"138",197,91,15854
"139",11,99,15783
"140",169,169,14963
"141",121,27,14212
"142",35,35,13332
"143",27,121,13099
"144",183,19,12922
"145",13,13,12696
"146",9,9,12456
"147",55,199,12277
"148",133,163,12246
"149",163,133,12207
"150",199,55,12162
"151",195,103,12147
"152",47,47,11761
"153",119,117,11299
"154",103,141,11004
"155",155,155,10969
"156",117,119,10787
"157",37,93,10384
"158",27,163,10127
"159",163,27,10076
"160",93,37,10042
"161",59,59,9687
"162",141,103,9634
"163",71,71,9433
"164",91,31,9326
"165",93,31,9279
"166",111,43,9249
"167",43,111,9204
"168",119,83,9166
"169",143,203,9144
"170",75,91,9094
"171",31,93,8994
"172",19,147,8956
"173",91,75,8904
"174",203,143,8873
"175",31,91,8823
"176",201,177,8695
"177",175,175,8559
"178",177,201,8541
"179",89,97,8538
"180",3,3,8529
"181",97,89,8438
"182",19,183,8258
"183",83,119,8033
"184",153,153,7755
"185",147,19,7752
"186",201,31,7744
"187",171,171,7659
"188",167,129,7630
"189",19,41,7460
"190",69,69,7421
"191",113,203,7414
"192",37,99,7212
"193",95,187,7198
"194",203,113,7159
"195",129,167,7146
"196",187,95,7016
"197",99,37,6883
"198",99,105,6794
"199",31,201,6695
"200",41,19,6650
"201",113,179,6639
"202",161,131,6613
"203",179,113,6556
"204",93,99,6543
"205",19,53,6489
"206",131,161,6460
"207",105,99,6408
"208",53,19,6285
"209",167,21,6214
"210",99,93,6143
"211",151,151,6065
"212",117,135,6059
"213",113,105,6047
"214",135,117,6016
